date,weekday,n1,n2,n3,n4,n5,e1,e2
2016-05-20,Friday,6,19,23,33,34,4,7
2016-05-27,Friday,4,10,26,33,48,5,9
2016-06-03,Friday,13,20,32,34,47,6,9
2016-06-10,Friday,11,12,26,28,37,8,10
2016-06-17,Friday,16,18,19,23,44,1,3
2016-06-24,Friday,19,21,24,41,48,1,6
2016-07-01,Friday,29,37,38,47,50,2,4
2016-07-08,Friday,4,19,21,31,42,5,10
2016-07-15,Friday,12,22,36,38,50,2,9
2016-07-22,Friday,6,14,20,26,46,2,4
2016-07-29,Friday,4,8,22,36,44,5,10
2016-08-05,Friday,5,11,12,30,40,2,5
2016-08-12,Friday,6,15,18,21,38,1,4
2016-08-19,Friday,22,33,42,43,46,6,10
2016-08-26,Friday,4,8,9,33,43,5,9
2016-09-02,Friday,15,28,30,42,50,1,8
2016-09-09,Friday,11,27,34,35,39,6,10
2016-09-16,Friday,15,28,30,37,43,2,5
2016-09-23,Friday,1,7,23,25,45,5,8
2016-09-30,Friday,4,28,29,39,44,8,10
2016-10-07,Friday,1,10,20,43,44,6,9
2016-10-14,Friday,7,10,25,39,42,3,6
2016-10-21,Friday,14,16,28,34,35,3,9
2016-10-28,Friday,1,4,6,12,13,1,6
2016-11-04,Friday,14,15,16,22,50,2,10
2016-11-11,Friday,1,16,18,42,47,6,8
2016-11-18,Friday,7,10,16,32,40,1,6
2016-11-25,Friday,19,28,34,45,49,1,6
2016-12-02,Friday,1,20,39,48,50,3,7
2016-12-09,Friday,12,17,29,44,50,2,10
2016-12-16,Friday,2,3,24,25,34,6,8
2016-12-23,Friday,13,27,30,42,46,3,4
2016-12-30,Friday,27,30,45,47,50,1,9
2017-01-06,Friday,7,14,23,27,35,3,5
2017-01-13,Friday,2,21,26,44,45,1,6
2017-01-20,Friday,5,23,25,35,40,5,8
2017-01-27,Friday,12,15,19,29,48,7,9
2017-02-03,Friday,4,5,17,39,47,3,4
2017-02-10,Friday,13,23,31,42,44,2,5
2017-02-17,Friday,7,18,19,40,49,5,6
2017-02-24,Friday,1,7,13,19,20,6,8
2017-03-03,Friday,3,7,16,18,25,2,10
2017-03-10,Friday,13,18,20,35,46,7,8
2017-03-17,Friday,3,16,25,38,45,7,8
2017-03-24,Friday,25,26,30,36,44,3,9
2017-03-31,Friday,8,14,34,40,44,1,7
2017-04-07,Friday,10,27,43,45,46,4,8
2017-04-14,Friday,6,22,33,46,49,1,5
2017-04-21,Friday,27,31,44,46,49,6,8
2017-04-28,Friday,3,38,39,41,45,3,5
2017-05-05,Friday,8,11,23,41,42,6,8
2017-05-12,Friday,7,14,31,35,46,1,2
2017-05-19,Friday,22,33,41,46,50,2,6
2017-05-26,Friday,3,11,13,15,23,1,9
2017-06-02,Friday,2,4,17,20,46,1,8
